,game_date,url,san,uci,colour,side,move,game_state_after,game_state_before,eval_type_after,eval_after,material_eval_after,eval_type_before,eval_before,material_eval_before,flag_blunder,flag_checkmate,flag_check,flag_capture
0,2024-05-01,https://www.chess.com/game/live/108332543135,d4,d2d4,white,0,1,0,0,cp,20,0,cp,31,0,0,0,0,0
1,2024-05-01,https://www.chess.com/game/live/108332543135,g6,g7g6,black,1,1,1,0,cp,66,0,cp,20,0,0,0,0,0
2,2024-05-01,https://www.chess.com/game/live/108332543135,e4,e2e4,white,0,2,1,1,cp,67,0,cp,66,0,0,0,0,0
3,2024-05-01,https://www.chess.com/game/live/108332543135,Bg7,f8g7,black,1,2,1,1,cp,71,0,cp,67,0,0,0,0,0
4,2024-05-01,https://www.chess.com/game/live/108332543135,f4,f2f4,white,0,3,1,1,cp,54,0,cp,71,0,0,0,0,0
5,2024-05-01,https://www.chess.com/game/live/108332543135,d6,d7d6,black,1,3,1,1,cp,72,0,cp,54,0,0,0,0,0
6,2024-05-01,https://www.chess.com/game/live/108332543135,h3,h2h3,white,0,4,0,1,cp,-42,0,cp,72,0,0,0,0,0
7,2024-05-01,https://www.chess.com/game/live/108332543135,Nf6,g8f6,black,1,4,0,0,cp,12,0,cp,-42,0,0,0,0,0
8,2024-05-01,https://www.chess.com/game/live/108332543135,Bd3,f1d3,white,0,5,0,0,cp,-1,0,cp,12,0,0,0,0,0
9,2024-05-01,https://www.chess.com/game/live/108332543135,O-O,e8g8,black,1,5,0,0,cp,44,0,cp,-1,0,0,0,0,0
10,2024-05-01,https://www.chess.com/game/live/108332543135,c3,c2c3,white,0,6,-1,0,cp,-68,0,cp,44,0,0,0,0,0
11,2024-05-01,https://www.chess.com/game/live/108332543135,b6,b7b6,black,1,6,1,-1,cp,63,0,cp,-68,0,1,0,0,0
12,2024-05-01,https://www.chess.com/game/live/108332543135,Be3,c1e3,white,0,7,0,1,cp,-36,0,cp,63,0,0,0,0,0
13,2024-05-01,https://www.chess.com/game/live/108332543135,Bb7,c8b7,black,1,7,0,0,cp,-45,0,cp,-36,0,0,0,0,0
14,2024-05-01,https://www.chess.com/game/live/108332543135,Nd2,b1d2,white,0,8,0,0,cp,-46,0,cp,-45,0,0,0,0,0
15,2024-05-01,https://www.chess.com/game/live/108332543135,Re8,f8e8,black,1,8,0,0,cp,50,0,cp,-46,0,0,0,0,0
16,2024-05-01,https://www.chess.com/game/live/108332543135,Ngf3,g1f3,white,0,9,0,0,cp,-30,0,cp,50,0,0,0,0,0
17,2024-05-01,https://www.chess.com/game/live/108332543135,Nc6,b8c6,black,1,9,1,0,cp,64,0,cp,-30,0,0,0,0,0
18,2024-05-01,https://www.chess.com/game/live/108332543135,e5,e4e5,white,0,10,0,1,cp,41,0,cp,64,0,0,0,0,0
19,2024-05-01,https://www.chess.com/game/live/108332543135,dxe5,d6e5,black,1,10,1,0,cp,82,-1,cp,41,0,0,0,0,1
20,2024-05-01,https://www.chess.com/game/live/108332543135,fxe5,f4e5,white,0,11,1,1,cp,92,0,cp,82,-1,0,0,0,1
21,2024-05-01,https://www.chess.com/game/live/108332543135,Nd5,f6d5,black,1,11,1,1,cp,72,0,cp,92,0,0,0,0,0
22,2024-05-01,https://www.chess.com/game/live/108332543135,Bf2,e3f2,white,0,12,0,1,cp,11,0,cp,72,0,0,0,0,0
23,2024-05-01,https://www.chess.com/game/live/108332543135,e6,e7e6,black,1,12,1,0,cp,180,0,cp,11,0,0,0,0,0
24,2024-05-01,https://www.chess.com/game/live/108332543135,O-O,e1g1,white,0,13,1,1,cp,179,0,cp,180,0,0,0,0,0
25,2024-05-01,https://www.chess.com/game/live/108332543135,a6,a7a6,black,1,13,2,1,cp,216,0,cp,179,0,0,0,0,0
26,2024-05-01,https://www.chess.com/game/live/108332543135,Ne4,d2e4,white,0,14,2,2,cp,203,0,cp,216,0,0,0,0,0
27,2024-05-01,https://www.chess.com/game/live/108332543135,h6,h7h6,black,1,14,2,2,cp,300,0,cp,203,0,0,0,0,0
28,2024-05-01,https://www.chess.com/game/live/108332543135,h4,h3h4,white,0,15,1,2,cp,199,0,cp,300,0,0,0,0,0
29,2024-05-01,https://www.chess.com/game/live/108332543135,Nce7,c6e7,black,1,15,1,1,cp,196,0,cp,199,0,0,0,0,0
30,2024-05-01,https://www.chess.com/game/live/108332543135,g4,g2g4,white,0,16,1,1,cp,85,0,cp,196,0,0,0,0,0
31,2024-05-01,https://www.chess.com/game/live/108332543135,Rc8,a8c8,black,1,16,1,1,cp,133,0,cp,85,0,0,0,0,0
32,2024-05-01,https://www.chess.com/game/live/108332543135,Qd2,d1d2,white,0,17,1,1,cp,127,0,cp,133,0,0,0,0,0
33,2024-05-01,https://www.chess.com/game/live/108332543135,c5,c7c5,black,1,17,2,1,cp,229,0,cp,127,0,0,0,0,0
34,2024-05-01,https://www.chess.com/game/live/108332543135,c4,c3c4,white,0,18,1,2,cp,67,0,cp,229,0,0,0,0,0
35,2024-05-01,https://www.chess.com/game/live/108332543135,Nb4,d5b4,black,1,18,1,1,cp,66,0,cp,67,0,0,0,0,0
36,2024-05-01,https://www.chess.com/game/live/108332543135,Nd6,e4d6,white,0,19,-2,1,cp,-202,0,cp,66,0,1,0,0,0
37,2024-05-01,https://www.chess.com/game/live/108332543135,Bxf3,b7f3,black,1,19,-1,-2,cp,-192,-3,cp,-202,0,0,0,0,1
38,2024-05-01,https://www.chess.com/game/live/108332543135,Nxe8,d6e8,white,0,20,-2,-1,cp,-398,2,cp,-192,-3,0,0,0,1
39,2024-05-01,https://www.chess.com/game/live/108332543135,Qxe8,d8e8,black,1,20,-2,-2,cp,-397,-1,cp,-398,2,0,0,0,1
40,2024-05-01,https://www.chess.com/game/live/108332543135,dxc5,d4c5,white,0,21,-3,-2,cp,-429,0,cp,-397,-1,0,0,0,1
41,2024-05-01,https://www.chess.com/game/live/108332543135,bxc5,b6c5,black,1,21,-2,-3,cp,-398,-1,cp,-429,0,0,0,0,1
42,2024-05-01,https://www.chess.com/game/live/108332543135,Qe3,d2e3,white,0,22,-3,-2,cp,-584,-1,cp,-398,-1,0,0,0,0
43,2024-05-01,https://www.chess.com/game/live/108332543135,Bb7,f3b7,black,1,22,-2,-3,cp,-360,-1,cp,-584,-1,0,0,0,0
44,2024-05-01,https://www.chess.com/game/live/108332543135,Be4,d3e4,white,0,23,-3,-2,cp,-424,-1,cp,-360,-1,0,0,0,0
45,2024-05-01,https://www.chess.com/game/live/108332543135,Bxe4,b7e4,black,1,23,-2,-3,cp,-397,-4,cp,-424,-1,0,0,0,1
46,2024-05-01,https://www.chess.com/game/live/108332543135,Qxe4,e3e4,white,0,24,-2,-2,cp,-398,-1,cp,-397,-4,0,0,0,1
47,2024-05-01,https://www.chess.com/game/live/108332543135,Qc6,e8c6,black,1,24,-2,-2,cp,-333,-1,cp,-398,-1,0,0,0,0
48,2024-05-01,https://www.chess.com/game/live/108332543135,Qxc6,e4c6,white,0,25,-2,-2,cp,-393,8,cp,-333,-1,0,0,0,1
49,2024-05-01,https://www.chess.com/game/live/108332543135,Nexc6,e7c6,black,1,25,-3,-2,cp,-408,-1,cp,-393,8,0,0,0,1
50,2024-05-01,https://www.chess.com/game/live/108332543135,Bxc5,f2c5,white,0,26,-2,-3,cp,-393,0,cp,-408,-1,0,0,0,1
51,2024-05-01,https://www.chess.com/game/live/108332543135,Bxe5,g7e5,black,1,26,-2,-2,cp,-288,-1,cp,-393,0,0,0,0,1
52,2024-05-01,https://www.chess.com/game/live/108332543135,Rab1,a1b1,white,0,27,-2,-2,cp,-366,-1,cp,-288,-1,0,0,0,0
53,2024-05-01,https://www.chess.com/game/live/108332543135,Nd3,b4d3,black,1,27,-2,-2,cp,-357,-1,cp,-366,-1,0,0,0,0
54,2024-05-01,https://www.chess.com/game/live/108332543135,Be3,c5e3,white,0,28,-2,-2,cp,-359,-1,cp,-357,-1,0,0,0,0
55,2024-05-01,https://www.chess.com/game/live/108332543135,Nxb2,d3b2,black,1,28,-2,-2,cp,-347,-2,cp,-359,-1,0,0,0,1
56,2024-05-01,https://www.chess.com/game/live/108332543135,Bxh6,e3h6,white,0,29,-2,-2,cp,-318,-1,cp,-347,-2,0,0,0,1
57,2024-05-01,https://www.chess.com/game/live/108332543135,Nxc4,b2c4,black,1,29,-2,-2,cp,-294,-2,cp,-318,-1,0,0,0,1
58,2024-05-01,https://www.chess.com/game/live/108332543135,h5,h4h5,white,0,30,-2,-2,cp,-390,-2,cp,-294,-2,0,0,0,0
59,2024-05-01,https://www.chess.com/game/live/108332543135,Kh7,g8h7,black,1,30,-2,-2,cp,-386,-2,cp,-390,-2,0,0,0,0
60,2024-05-01,https://www.chess.com/game/live/108332543135,Bf4,h6f4,white,0,31,-2,-2,cp,-392,-2,cp,-386,-2,0,0,0,0
61,2024-05-01,https://www.chess.com/game/live/108332543135,Bxf4,e5f4,black,1,31,-2,-2,cp,-383,-5,cp,-392,-2,0,0,0,1
